year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,5,SD,Final,20205,252009,4259,8.02,41702,47.4,50.3,-100.230507516,44.4361607025
2022,5,TN,Final,117674,1968966,1024,5.98,41703,62.8,61.8,-86.3433803654,35.8429870949
2022,5,TX,Final,978260,12302450,318297,7.95,41704,73.4,68.7,-99.3506971451,31.4844643819
2022,5,UT,Final,47788,743180,10385,6.43,41705,50.5,50.1,-111.678216374,39.3237947509
2022,5,VA,Final,105636,1393423,3670,7.58,41707,60.2,58.6,-78.8122544727,37.5150238913
2022,5,VT,Final,13299,115436,253,11.52,41706,49.0,46.0,-72.6626493581,44.0751958252
2022,5,WA,Final,101704,1696661,26894,5.99,41708,44.6,48.5,-120.446866425,47.3809688818
2022,5,WI,Final,170083,2006880,5652,8.48,41710,48.0,48.6,-90.0116942643,44.6380301915
2022,5,WV,Final,85290,1270439,11232,6.71,41709,56.9,55.7,-80.6137119661,38.6425987436
2022,5,WY,Final,54717,781123,11809,7.0,41711,41.4,43.6,-107.551454075,42.999642032
2022,4,AL,Final,174013,2520167,7192,6.9,41616,60.1,59.0,-86.8283719359,32.7898321918
2022,4,AR,Final,97474,1472757,28672,6.62,41618,56.0,55.9,-92.4392676639,34.8997453322
2022,4,AZ,Final,82544,1143524,7863,7.22,41617,56.3,53.1,-111.664418336,34.2931098705
2022,4,CA,Final,571189,3712281,144047,15.39,41619,54.6,51.4,-119.610698951,37.2460706736
2022,4,CO,Final,98685,1222812,15167,8.07,41620,39.4,38.1,-105.547824721,38.9985518194
2022,4,CT,Final,33408,226398,4002,14.76,41621,43.2,40.7,-72.7257060428,41.6202863352
2022,4,DE,Final,12428,159254,874,7.8,41622,49.8,47.3,-75.4004040929,38.8870164548
2022,4,FL,Final,127593,1478836,23202,8.63,41623,70.2,66.7,-81.7974638723,28.6284392647
2022,4,GA,Final,199235,2784834,23748,7.15,41624,61.0,59.2,-83.4463418309,32.6492290722
2022,4,IA,Final,124777,2070370,9606,6.03,41628,40.4,41.4,-93.5000649605,42.0746268788
2022,4,ID,Final,36996,638529,29188,5.79,41625,36.6,36.8,-114.659382348,44.0890895052
2022,4,IL,Final,279539,3316202,5492,8.43,41626,46.3,45.7,-89.1983967614,40.0650409125
2022,4,IN,Final,283104,3534273,19148,8.01,41627,46.6,45.1,-86.2756397346,39.9081412284
2022,4,KS,Final,74670,959202,23741,7.78,41629,49.0,47.9,-98.3802131736,38.4847081514
2022,4,KY,Final,174457,2525307,5354,6.91,41630,51.8,50.3,-85.2904560935,37.5266674638
2022,4,LA,Final,213798,3278481,19755,6.52,41631,63.4,62.7,-92.5856620163,31.0584069584
2022,4,MA,Final,83959,529068,10217,15.87,41634,42.5,39.4,-71.7986394244,42.2533023991
2022,4,MD,Final,26314,279556,9150,9.41,41633,49.8,47.4,-76.7724546076,39.0369222963
2022,4,ME,Final,21442,192314,2090,11.15,41632,34.8,32.1,-69.2266474552,45.3714334913
2022,4,MI,Final,186433,2298989,5761,8.11,41635,35.6,35.4,-85.4371669561,44.3506813109
2022,4,MN,Final,144975,1606978,9383,9.02,41636,30.9,33.3,-94.3090126515,46.3163329315
2022,4,MO,Final,72615,1049879,9964,6.92,41638,49.6,49.1,-92.4774101578,38.3676131565
2022,4,MS,Final,85499,1322277,10784,6.47,41637,60.8,59.5,-89.6652136847,32.750866634
2022,4,MT,Final,26333,382625,10541,6.88,41639,34.3,35.0,-109.645148622,47.0335364218
2022,4,NC,Final,132608,1995710,9200,6.64,41646,56.1,53.6,-79.3723797543,35.5415341226
